DATE,TLRESCONS
2002-01-01,382979
2002-02-01,391434
2002-03-01,390942
2002-04-01,404255
2002-05-01,399164
2002-06-01,407305
2002-07-01,410171
2002-08-01,404055
2002-09-01,400059
2002-10-01,402091
2002-11-01,406609
2002-12-01,416844
2003-01-01,423049
2003-02-01,422705
2003-03-01,418232
2003-04-01,425493
2003-05-01,426270
2003-06-01,436163
2003-07-01,454040
2003-08-01,458676
2003-09-01,463954
2003-10-01,475234
2003-11-01,490441
2003-12-01,508637
2004-01-01,503659
2004-02-01,505081
2004-03-01,511829
2004-04-01,517912
2004-05-01,528180
2004-06-01,533358
2004-07-01,549031
2004-08-01,557411
2004-09-01,552375
2004-10-01,556425
2004-11-01,555944
2004-12-01,571871
2005-01-01,581168
2005-02-01,594003
2005-03-01,597200
2005-04-01,603975
2005-05-01,609170
2005-06-01,622726
2005-07-01,634572
2005-08-01,639501
2005-09-01,652748
2005-10-01,664407
2005-11-01,670757
2005-12-01,676135
2006-01-01,681263
2006-02-01,684482
2006-03-01,674457
2006-04-01,656899
2006-05-01,640049
2006-06-01,621219
2006-07-01,604020
2006-08-01,590189
2006-09-01,579753
2006-10-01,567752
2006-11-01,555299
2006-12-01,551740
2007-01-01,544096
2007-02-01,538260
2007-03-01,534655
2007-04-01,530749
2007-05-01,521499
2007-06-01,513524
2007-07-01,503486
2007-08-01,488816
2007-09-01,472995
2007-10-01,455045
2007-11-01,439144
2007-12-01,423699
2008-01-01,409420
2008-02-01,393193
2008-03-01,397469
2008-04-01,392801
2008-05-01,389335
2008-06-01,382000
2008-07-01,372755
2008-08-01,360382
2008-09-01,348206
2008-10-01,336824
2008-11-01,320284
2008-12-01,301332
2009-01-01,291523
2009-02-01,276113
2009-03-01,262528
2009-04-01,251235
2009-05-01,244399
2009-06-01,245226
2009-07-01,252642
2009-08-01,258774
2009-09-01,262509
2009-10-01,263232
2009-11-01,263973
2009-12-01,264592
2010-01-01,263680
2010-02-01,263649
2010-03-01,263220
2010-04-01,264593
2010-05-01,263020
2010-06-01,261202
2010-07-01,254964
2010-08-01,249367
2010-09-01,249015
2010-10-01,247981
2010-11-01,248808
2010-12-01,248929
2011-01-01,250965
2011-02-01,249760
2011-03-01,251180
2011-04-01,253897
2011-05-01,254629
2011-06-01,256286
2011-07-01,257737
2011-08-01,259960
2011-09-01,258293
2011-10-01,260305
2011-11-01,254401
2011-12-01,255090
2012-01-01,259223
2012-02-01,254120
2012-03-01,258662
2012-04-01,265032
2012-05-01,269833
2012-06-01,275699
2012-07-01,279707
2012-08-01,285467
2012-09-01,292076
2012-10-01,300200
2012-11-01,302823
2012-12-01,305105
2013-01-01,309893
2013-02-01,314633
2013-03-01,318708
2013-04-01,322768
2013-05-01,327919
2013-06-01,330608
2013-07-01,334273
2013-08-01,341543
2013-09-01,345327
2013-10-01,351749
2013-11-01,358973
2013-12-01,366094
2014-01-01,372525
2014-02-01,369315
2014-03-01,375258
2014-04-01,379989
2014-05-01,382391
2014-06-01,376926
2014-07-01,376661
2014-08-01,378231
2014-09-01,386668
2014-10-01,391098
2014-11-01,397603
2014-12-01,407755
2015-01-01,412766
2015-02-01,418869
2015-03-01,419989
2015-04-01,423395
2015-05-01,431943
2015-06-01,438244
2015-07-01,444103
2015-08-01,445049
2015-09-01,452916
2015-10-01,455257
2015-11-01,454074
2015-12-01,460815
2016-01-01,464700
2016-02-01,465592
2016-03-01,478810
2016-04-01,475632
2016-05-01,474981
2016-06-01,478711
2016-07-01,481763
2016-08-01,485091
2016-09-01,486805
2016-10-01,505164
2016-11-01,511112
2016-12-01,521509
2017-01-01,520246
2017-02-01,543536
2017-03-01,537448
2017-04-01,541329
2017-05-01,541342
2017-06-01,540034
2017-07-01,546304
2017-08-01,545675
2017-09-01,548076
2017-10-01,545984
2017-11-01,566922
2017-12-01,575346
2018-01-01,582012
2018-02-01,592504
2018-03-01,583579
2018-04-01,582427
2018-05-01,581631
2018-06-01,570891
2018-07-01,562859
2018-08-01,553691
2018-09-01,553579
2018-10-01,542175
2018-11-01,539913
2018-12-01,528124
2019-01-01,534112
2019-02-01,529595
2019-03-01,531409
2019-04-01,537129
2019-05-01,538074
2019-06-01,544438
2019-07-01,550109
2019-08-01,559162
2019-09-01,562791
2019-10-01,563877
2019-11-01,574079
2019-12-01,579863
2020-01-01,596728
2020-02-01,600581
2020-03-01,595963
2020-04-01,569892
2020-05-01,547787
2020-06-01,562612
2020-07-01,584418
2020-08-01,624410
2020-09-01,629972
2020-10-01,659365
2020-11-01,679699
2020-12-01,713219
