DATE,PRFIC1
2002-01-01,675.867
2002-04-01,692.633
2002-07-01,694.662
2002-10-01,707.157
2003-01-01,720.182
2003-04-01,731.656
2003-07-01,773.589
2003-10-01,796.615
2004-01-01,805.874
2004-04-01,831.424
2004-07-01,837.354
2004-10-01,848.905
2005-01-01,868.948
2005-04-01,884.989
2005-07-01,894.69
2005-10-01,892.932
2006-01-01,884.566
2006-04-01,840.306
2006-07-01,793.783
2006-10-01,756.851
2007-01-01,722.749
2007-04-01,694.27
2007-07-01,650.137
2007-10-01,596.079
2008-01-01,548.658
2008-04-01,523.807
2008-07-01,497.233
2008-10-01,448.838
2009-01-01,405.314
2009-04-01,380.396
2009-07-01,398.07
2009-10-01,397.247
2010-01-01,384.436
2010-04-01,404.411
2010-07-01,368.573
2010-10-01,374.671
2011-01-01,373.402
2011-04-01,377.635
2011-07-01,384.44
2011-10-01,394.412
2012-01-01,418.273
2012-04-01,421.858
2012-07-01,432.693
2012-10-01,455.236
2013-01-01,471.762
2013-04-01,486.803
2013-07-01,495.514
2013-10-01,487.729
2014-01-01,484.319
2014-04-01,499.828
2014-07-01,507.133
2014-10-01,525.151
2015-01-01,535.483
2015-04-01,548.898
2015-07-01,563.696
2015-10-01,573.631
2016-01-01,592.962
2016-04-01,590.522
2016-07-01,587.366
2016-10-01,597.615
2017-01-01,614.387
2017-04-01,612.734
2017-07-01,610.093
2017-10-01,625.5
2018-01-01,620.315
2018-04-01,617.612
2018-07-01,609.123
2018-10-01,600.989
2019-01-01,598.397
2019-04-01,595.219
2019-07-01,601.944
2019-10-01,610.52
2020-01-01,637.624
2020-04-01,571.27
2020-07-01,645.478
2020-10-01,697.854
